Airport,Country
SNORRE B,Norway
SOFIA,Bulgaria
SOGN OG FJORDANE,Norway
SOGNDAL/HAUKASEN,Norway
SONDERBORG,Denmark
SORKJOSEN,Norway
SOUTHAMPTON,United Kingdom
SOUTHEND,United Kingdom
SPECK-FEHRALTORF,Switzerland
SPLIT/KASTELA,Croatia
ST. GALLEN-ALTENRHEIN,Switzerland
ST.STEPHAN,Switzerland
STATFJORD A,Norway
STATFJORD B,Norway
STATFJORD C,Norway
STAVANGER/SOLA,Norway
STAVANGER/UNIVERSITETSSYKEHUS,Norway
STOCKHOLM/ARLANDA,Sweden
STOCKHOLM/BROMMA,Sweden
STOCKHOLM/SKAVSTA,Sweden
STOCKHOLM/VASTERAS,Sweden
STOELLN/RHINOW,Germany
STOKMARKNES/SKAGEN,Norway
STORD/SORSTOKKEN,Norway
STORNOWAY,United Kingdom
STORUMAM,Norway
STRASBOURG airport System,France
STRASBOURG-ENTZHEIM,France
STUTTGART,Germany
STYKKISHOLMUR,Iceland
SUCEAVA/STEFAN CEL MARE,Romania
SUMBURGH,United Kingdom
SUNDSVALL-TIMRA,Sweden
SUNNDALSORA,Norway
SVALBARD/LONGYEAR,Svalbard (Norway)
SVEA,Svalbard (Norway)
SVEG,Sweden
SVOLVAER/HELLE,Norway
SWANSEA,United Kingdom
SWITZERLAND MET,Switzerland
SYLT,Germany
SYROS/DIMITRIOS VIKELAS,Greece
SZCZECIN/GOLENIOW,Poland
TALLINN/CITY HALL,Estonia
TAMBAR,Norway
TAMPERE ACC/RCC,Finland
TAMPERE-PIRKKALA,Finland
TANA BRU (TANA BRIDGE),Norway
TARANTO/GROTTAGLIE,Italy
TARBES LOURDES PYRENEES,France
TARGU MURES/TRANSILVANIA,Romania
TARTU,Estonia
TEKIRDAG/CORLU,Turkey
TENERIFE NORTE,Spain
TENERIFE SUR/REINA SOFIA,Spain
THESSALONIKI/MAKEDONIA,Greece
THINGEYRI,Iceland
THIRA,Greece
THISTED,Denmark
THORSHOFN,Iceland
THUN,Switzerland
TIMISOARA/TRAIAN VUIA,Romania
TIREE,United Kingdom
TIVAT,Montenegro
TOKAT,Turkey
TOR,Norway
TORGAU-BEILRODE,Germany
TORINO/CASELLE,Italy
TORSBY,Sweden
TORTOLI/ARBATAX,Italy
TOULOUSE/BLAGNAC,France
TOURS VAL DE LOIRE,France
TRABZON,Turkey
TRAPANI/BIRGI,Italy
TRESCO,United Kingdom
TREVISO/S.ANGELO,Italy
TRIENGEN,Switzerland
TRIESTE/RONCHI DEI LEGIONARI,Italy
TROLL A,Norway
TROLL B,Norway
TROLL C,Norway
TROLLHATTAN-VANERSBORG,Sweden
TROMSO/LANGNES,Norway
TRONDHEIM/ROSTEN,Norway
TRONDHEIM/ST. OLAVS HOSPITAL,Norway
TRONDHEIM/VAERNES,Norway
TRYSIL/SAETERASEN,Norway
TULCEA/DELTA DUNARII,Romania
TURKU,Finland
TUZLA,Bosnia and Herzegovina
TYNSET,Norway
UETERSEN/HEIST,Germany
ULA,Norway
UMEA,Sweden
Unknown airport - FINLAND,Finland
Unknown airport - NORWAY,Norway
Unknown airport - POLAND,Poland
Unknown airport - SLOVAKIA,Slovakia
Unknown airport - SWITZERLAND,Switzerland
UNST,United Kingdom
USAK,Turkey
UTTI,Finland
VAASA,Finland
VADSO,Norway
VAEROY,Norway
VAGAR,Faroe Islands (Denmark)
VALENCIA,Spain
VALHALL A,Norway
VALLADOLID,Spain
VALLE/ARAKSOYENE,Norway
VALLHALL PH,Norway
VAN/FERIT MELEN,Turkey
VARDO/SVARTNES,Norway
VARG,Norway
VARKAUS,Finland
VARNA,Bulgaria
VAXJO/KRONOBERG,Sweden
VENEZIA/TESSERA,Italy
VERONA/BOSCOMANTICO,Italy
VERONA/VILLAFRANCA,Italy
VESLEFRIKK A,Norway
VESLEFRIKK B,Norway
VESTMANNAEYJAR,Iceland
VIGO,Spain
VILA REAL,Portugal
VILHELMINA,Sweden
VILNIUS/INTERNATIONAL,Lithuania
VISBY,Sweden
VISEU,Portugal
VISUND,Norway
VITORIA,Spain
VOLOS,Greece
VOPNAFJORDUR,Iceland
WANGEN-LACHEN,Switzerland
WANGEROOGE,Germany
WARSZAWA/CHOPINA,Poland
WARSZAWA/MODLIN,Poland
WATERFORD,Ireland
WICK,United Kingdom
WIEN-SCHWECHAT,Austria
WILHELMSHAVEN JADEWESER,Germany
WINTERTHUR,Switzerland
WROCLAW/STRACHOWICE,Poland
YME,Norway
YVERDON-LES-BAINS,Switzerland
ZADAR/ZEMUNIK,Croatia
ZAFER,Turkey
ZAGREB (AFTN),Croatia
ZAGREB/FRANJO TUDJMAN,Croatia
ZAKINTHOS/DIONISIOS SOLOMOS,Greece
ZARAGOZA,Spain
ZERMATT,Switzerland
ZIELONA GORA/BABIMOST,Poland
ZILINA,Slovakia
ZONGULDAK/CAYCUMA,Turkey
ZURICH,Switzerland
ZWEIBRUECKEN,Germany
ZWEISIMMEN,Switzerland
